📋 Showing application logs...
[33mapi-gateway-1           | 2025/10/12 08:13:48 [info] 23#23: *1290 client 172.22.0.1 closed keepalive connection[0m
payment-service-1       | timestamp="2025-10-12T08:01:58.116Z" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="84" content="{"amount":300,"recipient":"landlord@apartments.com","description":"Monthly rent"}" classification="Normal" event="PaymentProcessingSuccess" paymentId="1760256118115" userId="1760111615761" amount="300"
payment-service-1       | timestamp="2025-10-12T08:02:00.142Z" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="82" content="{"amount":75.25,"recipient":"utilities@company.com","description":"Electric bill"}" classification="Normal" event="AuthenticationAttempt" hasToken="true"
payment-service-1       | timestamp="2025-10-12T08:02:00.147Z" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="82" content="{"amount":75.25,"recipient":"utilities@company.com","description":"Electric bill"}" classification="Normal" event="AuthenticationSuccess" userId="1760111615761" email="charlie@paypal.com"
payment-service-1       | timestamp="2025-10-12T08:02:00.147Z" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="82" content="{"amount":75.25,"recipient":"utilities@company.com","description":"Electric bill"}" classification="Normal" event="PaymentProcessingAttempt" userId="1760111615761" email="charlie@paypal.com" amount="75.25" recipient="utilities@company.com"
payment-service-1       | timestamp="2025-10-12T08:02:00.148Z" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="82" content="{"amount":75.25,"recipient":"utilities@company.com","description":"Electric bill"}" classification="Normal" event="PaymentProcessingSuccess" paymentId="1760256120147" userId="1760111615761" amount="75.25"
payment-service-1       | timestamp="2025-10-12T08:02:02.186Z" Method="GET" URL="/history" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="0" content="{}" classification="Normal" event="AuthenticationAttempt" hasToken="true"
payment-service-1       | timestamp="2025-10-12T08:02:02.191Z" Method="GET" URL="/history" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="0" content="{}" classification="Normal" event="AuthenticationSuccess" userId="1760111613363" email="alice@paypal.com"
payment-service-1       | timestamp="2025-10-12T08:02:02.191Z" Method="GET" URL="/history" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="0" content="{}" classification="Normal" event="PaymentHistoryRetrieval" userId="1760111613363"
payment-service-1       | timestamp="2025-10-12T08:02:03.263Z" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="70" content="{"amount":100,"recipient":"test@test.com","description":"Should fail"}" classification="Normal" event="AuthenticationAttempt" hasToken="false"
payment-service-1       | timestamp="2025-10-12T08:02:03.263Z" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="70" content="{"amount":100,"recipient":"test@test.com","description":"Should fail"}" classification="Suspicious" event="AuthenticationFailure" reason="NoTokenProvided"
payment-service-1       | timestamp="2025-10-12T08:02:04.289Z" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="70" content="{"amount":100,"recipient":"test@test.com","description":"Should fail"}" classification="Normal" event="AuthenticationAttempt" hasToken="true"
[31mpayment-service-1       | timestamp="2025-10-12T08:02:04.296Z" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="70" content="{"amount":100,"recipient":"test@test.com","description":"Should fail"}" classification="Suspicious" event="AuthenticationError" reason="AuthServiceUnreachable" error="Request failed with status code 401"[0m
payment-service-1       | timestamp="2025-10-12T08:02:05.333Z" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="97" content="{"amount":999.99,"recipient":"vip@customer.com","description":"VIP Transaction - Full Flow Test"}" classification="Normal" event="AuthenticationAttempt" hasToken="true"
payment-service-1       | timestamp="2025-10-12T08:02:05.337Z" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="97" content="{"amount":999.99,"recipient":"vip@customer.com","description":"VIP Transaction - Full Flow Test"}" classification="Normal" event="AuthenticationSuccess" userId="1760111613363" email="alice@paypal.com"
payment-service-1       | timestamp="2025-10-12T08:02:05.337Z" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="97" content="{"amount":999.99,"recipient":"vip@customer.com","description":"VIP Transaction - Full Flow Test"}" classification="Normal" event="PaymentProcessingAttempt" userId="1760111613363" email="alice@paypal.com" amount="999.99" recipient="vip@customer.com"
payment-service-1       | timestamp="2025-10-12T08:02:05.338Z" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="97" content="{"amount":999.99,"recipient":"vip@customer.com","description":"VIP Transaction - Full Flow Test"}" classification="Normal" event="PaymentProcessingSuccess" paymentId="1760256125337" userId="1760111613363" amount="999.99"
notification-service-1  | timestamp="2025-10-12T08:01:47.930Z" Method="POST" URL="/send" User-Agent="axios/1.12.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="notification-service:3003" cookie="-" content-type="application/json" connection="close" lenght="150" content="{"userId":1760111614582,"email":"bob@paypal.com","type":"PAYMENT_SUCCESS","message":"Your payment of $300 to landlord@apartments.com was successful."}" classification="Normal" event="NotificationStored" notificationId="1760256107930" userId="1760111614582"
notification-service-1  | timestamp="2025-10-12T08:01:49.967Z" Method="POST" URL="/send" User-Agent="axios/1.12.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="notification-service:3003" cookie="-" content-type="application/json" connection="close" lenght="150" content="{"userId":1760111614582,"email":"bob@paypal.com","type":"PAYMENT_SUCCESS","message":"Your payment of $75.25 to utilities@company.com was successful."}" classification="Normal" event="NotificationReceived" userId="1760111614582" email="bob@paypal.com" type="PAYMENT_SUCCESS"
notification-service-1  | timestamp="2025-10-12T08:01:49.967Z" Method="POST" URL="/send" User-Agent="axios/1.12.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="notification-service:3003" cookie="-" content-type="application/json" connection="close" lenght="150" content="{"userId":1760111614582,"email":"bob@paypal.com","type":"PAYMENT_SUCCESS","message":"Your payment of $75.25 to utilities@company.com was successful."}" classification="Normal" event="NotificationStored" notificationId="1760256109967" userId="1760111614582"
notification-service-1  | timestamp="2025-10-12T08:01:52.002Z" Method="POST" URL="/send" User-Agent="axios/1.12.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="notification-service:3003" cookie="-" content-type="application/json" connection="close" lenght="146" content="{"userId":1760111615761,"email":"charlie@paypal.com","type":"PAYMENT_SUCCESS","message":"Your payment of $50 to john@example.com was successful."}" classification="Normal" event="NotificationReceived" userId="1760111615761" email="charlie@paypal.com" type="PAYMENT_SUCCESS"
notification-service-1  | timestamp="2025-10-12T08:01:52.002Z" Method="POST" URL="/send" User-Agent="axios/1.12.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="notification-service:3003" cookie="-" content-type="application/json" connection="close" lenght="146" content="{"userId":1760111615761,"email":"charlie@paypal.com","type":"PAYMENT_SUCCESS","message":"Your payment of $50 to john@example.com was successful."}" classification="Normal" event="NotificationStored" notificationId="1760256112002" userId="1760111615761"
notification-service-1  | timestamp="2025-10-12T08:01:54.044Z" Method="POST" URL="/send" User-Agent="axios/1.12.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="notification-service:3003" cookie="-" content-type="application/json" connection="close" lenght="149" content="{"userId":1760111615761,"email":"charlie@paypal.com","type":"PAYMENT_SUCCESS","message":"Your payment of $150.75 to sarah@store.com was successful."}" classification="Normal" event="NotificationReceived" userId="1760111615761" email="charlie@paypal.com" type="PAYMENT_SUCCESS"
notification-service-1  | timestamp="2025-10-12T08:01:54.044Z" Method="POST" URL="/send" User-Agent="axios/1.12.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="notification-service:3003" cookie="-" content-type="application/json" connection="close" lenght="149" content="{"userId":1760111615761,"email":"charlie@paypal.com","type":"PAYMENT_SUCCESS","message":"Your payment of $150.75 to sarah@store.com was successful."}" classification="Normal" event="NotificationStored" notificationId="1760256114044" userId="1760111615761"
notification-service-1  | timestamp="2025-10-12T08:01:56.082Z" Method="POST" URL="/send" User-Agent="axios/1.12.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="notification-service:3003" cookie="-" content-type="application/json" connection="close" lenght="151" content="{"userId":1760111615761,"email":"charlie@paypal.com","type":"PAYMENT_SUCCESS","message":"Your payment of $25.5 to mike@restaurant.com was successful."}" classification="Normal" event="NotificationReceived" userId="1760111615761" email="charlie@paypal.com" type="PAYMENT_SUCCESS"
notification-service-1  | timestamp="2025-10-12T08:01:56.083Z" Method="POST" URL="/send" User-Agent="axios/1.12.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="notification-service:3003" cookie="-" content-type="application/json" connection="close" lenght="151" content="{"userId":1760111615761,"email":"charlie@paypal.com","type":"PAYMENT_SUCCESS","message":"Your payment of $25.5 to mike@restaurant.com was successful."}" classification="Normal" event="NotificationStored" notificationId="1760256116083" userId="1760111615761"
notification-service-1  | timestamp="2025-10-12T08:01:58.118Z" Method="POST" URL="/send" User-Agent="axios/1.12.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="notification-service:3003" cookie="-" content-type="application/json" connection="close" lenght="154" content="{"userId":1760111615761,"email":"charlie@paypal.com","type":"PAYMENT_SUCCESS","message":"Your payment of $300 to landlord@apartments.com was successful."}" classification="Normal" event="NotificationReceived" userId="1760111615761" email="charlie@paypal.com" type="PAYMENT_SUCCESS"
auth-service-1          | timestamp="2025-10-12T08:13:49.326Z" Method="POST" URL="/login" User-Agent="poc-agent" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="50" content="{"email":"invalid@test.com","password":"password"}" classification="Normal" event="LoginAttempt" email="invalid@test.com"
auth-service-1          | timestamp="2025-10-12T08:13:49.326Z" Method="POST" URL="/login" User-Agent="poc-agent" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="50" content="{"email":"invalid@test.com","password":"password"}" classification="Suspicious" event="LoginFailure" email="invalid@test.com" reason="InvalidCredentials"
auth-service-1          | timestamp="2025-10-12T08:13:49.399Z" Method="POST" URL="/login" User-Agent="poc-agent" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="48" content="{"email":"invalid@test.com","password":"123456"}" classification="Normal" event="LoginAttempt" email="invalid@test.com"
notification-service-1  | timestamp="2025-10-12T08:01:58.118Z" Method="POST" URL="/send" User-Agent="axios/1.12.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="notification-service:3003" cookie="-" content-type="application/json" connection="close" lenght="154" content="{"userId":1760111615761,"email":"charlie@paypal.com","type":"PAYMENT_SUCCESS","message":"Your payment of $300 to landlord@apartments.com was successful."}" classification="Normal" event="NotificationStored" notificationId="1760256118118" userId="1760111615761"
auth-service-1          | timestamp="2025-10-12T08:13:49.399Z" Method="POST" URL="/login" User-Agent="poc-agent" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="48" content="{"email":"invalid@test.com","password":"123456"}" classification="Suspicious" event="LoginFailure" email="invalid@test.com" reason="InvalidCredentials"
notification-service-1  | timestamp="2025-10-12T08:02:00.151Z" Method="POST" URL="/send" User-Agent="axios/1.12.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="notification-service:3003" cookie="-" content-type="application/json" connection="close" lenght="154" content="{"userId":1760111615761,"email":"charlie@paypal.com","type":"PAYMENT_SUCCESS","message":"Your payment of $75.25 to utilities@company.com was successful."}" classification="Normal" event="NotificationReceived" userId="1760111615761" email="charlie@paypal.com" type="PAYMENT_SUCCESS"
notification-service-1  | timestamp="2025-10-12T08:02:00.151Z" Method="POST" URL="/send" User-Agent="axios/1.12.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="notification-service:3003" cookie="-" content-type="application/json" connection="close" lenght="154" content="{"userId":1760111615761,"email":"charlie@paypal.com","type":"PAYMENT_SUCCESS","message":"Your payment of $75.25 to utilities@company.com was successful."}" classification="Normal" event="NotificationStored" notificationId="1760256120151" userId="1760111615761"
notification-service-1  | timestamp="2025-10-12T08:02:05.340Z" Method="POST" URL="/send" User-Agent="axios/1.12.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="notification-service:3003" cookie="-" content-type="application/json" connection="close" lenght="148" content="{"userId":1760111613363,"email":"alice@paypal.com","type":"PAYMENT_SUCCESS","message":"Your payment of $999.99 to vip@customer.com was successful."}" classification="Normal" event="NotificationReceived" userId="1760111613363" email="alice@paypal.com" type="PAYMENT_SUCCESS"
auth-service-1          | timestamp="2025-10-12T08:13:49.474Z" Method="POST" URL="/login" User-Agent="poc-agent" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="47" content="{"email":"invalid@test.com","password":"admin"}" classification="Normal" event="LoginAttempt" email="invalid@test.com"
auth-service-1          | timestamp="2025-10-12T08:13:49.474Z" Method="POST" URL="/login" User-Agent="poc-agent" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="47" content="{"email":"invalid@test.com","password":"admin"}" classification="Suspicious" event="LoginFailure" email="invalid@test.com" reason="InvalidCredentials"
auth-service-1          | timestamp="2025-10-12T08:13:49.549Z" Method="POST" URL="/login" User-Agent="poc-agent" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="49" content="{"email":"invalid@test.com","password":"letmein"}" classification="Normal" event="LoginAttempt" email="invalid@test.com"
auth-service-1          | timestamp="2025-10-12T08:13:49.549Z" Method="POST" URL="/login" User-Agent="poc-agent" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="49" content="{"email":"invalid@test.com","password":"letmein"}" classification="Suspicious" event="LoginFailure" email="invalid@test.com" reason="InvalidCredentials"
auth-service-1          | timestamp="2025-10-12T08:13:49.623Z" Method="POST" URL="/login" User-Agent="poc-agent" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="51" content="{"email":"invalid@test.com","password":"password1"}" classification="Normal" event="LoginAttempt" email="invalid@test.com"
auth-service-1          | timestamp="2025-10-12T08:13:49.623Z" Method="POST" URL="/login" User-Agent="poc-agent" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="51" content="{"email":"invalid@test.com","password":"password1"}" classification="Suspicious" event="LoginFailure" email="invalid@test.com" reason="InvalidCredentials"
auth-service-1          | timestamp="2025-10-12T08:13:49.699Z" Method="POST" URL="/login" User-Agent="poc-agent" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="50" content="{"email":"invalid@test.com","password":"password"}" classification="Normal" event="LoginAttempt" email="invalid@test.com"
auth-service-1          | timestamp="2025-10-12T08:13:49.699Z" Method="POST" URL="/login" User-Agent="poc-agent" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="50" content="{"email":"invalid@test.com","password":"password"}" classification="Suspicious" event="LoginFailure" email="invalid@test.com" reason="InvalidCredentials"
notification-service-1  | timestamp="2025-10-12T08:02:05.340Z" Method="POST" URL="/send" User-Agent="axios/1.12.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="notification-service:3003" cookie="-" content-type="application/json" connection="close" lenght="148" content="{"userId":1760111613363,"email":"alice@paypal.com","type":"PAYMENT_SUCCESS","message":"Your payment of $999.99 to vip@customer.com was successful."}" classification="Normal" event="NotificationStored" notificationId="1760256125340" userId="1760111613363"
auth-service-1          | timestamp="2025-10-12T08:13:49.774Z" Method="POST" URL="/login" User-Agent="poc-agent" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="48" content="{"email":"invalid@test.com","password":"123456"}" classification="Normal" event="LoginAttempt" email="invalid@test.com"
auth-service-1          | timestamp="2025-10-12T08:13:49.774Z" Method="POST" URL="/login" User-Agent="poc-agent" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="48" content="{"email":"invalid@test.com","password":"123456"}" classification="Suspicious" event="LoginFailure" email="invalid@test.com" reason="InvalidCredentials"
auth-service-1          | timestamp="2025-10-12T08:13:49.848Z" Method="POST" URL="/login" User-Agent="poc-agent" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="47" content="{"email":"invalid@test.com","password":"admin"}" classification="Normal" event="LoginAttempt" email="invalid@test.com"
